Test temp,YS,Solidus temperature,W,Nb,Hf,Mo,Re,Zr,Ta,Ti,C,Y,Al,Si,V,Cr
810.9277778,875.6325928,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
810.9277778,854.9483584,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1088.7055556,820.4746342,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1088.7055556,792.8956549,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1366.4833330000001,627.4217791,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1366.4833330000001,641.2112688,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1644.2611109999998,357.8372564,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1644.2611109999998,391.6215061,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1783.15,82.73693791,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
1783.15,102.0422234,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.9159306169765556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0
